index,BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
1468,3,Nizampet,1.35,7500.0,1800.0,4,Unfurnished,East,not sure,3,,Garden/Park,Hydrabad
1469,2,Kompally,0.55,5000.0,1100.0,3,Furnished,East,not sure,2,2,Main Road,Hydrabad
1470,3,Narsingi,1.95,8647.0,2255.0,10+,Unfurnished,West,not sure,3,3,"Garden/Park, Pool",Hydrabad
1471,2,others,0.48,4752.0,1010.0,8,Semi-Furnished,East,not sure,2,1,"Garden/Park, Main Road, Pool",Hydrabad
1472,3,others,3.25,14069.0,2310.0,6,Semi-Furnished,East,not sure,3,1,"Garden/Park, Pool",Hydrabad
1473,2,others,0.78,6695.0,1165.0,3,Semi-Furnished,East,not sure,2,2,"Garden/Park, Main Road",Hydrabad
1474,3,Narsingi,1.27,9039.0,1405.0,1,Furnished,,not sure,2,1,,Hydrabad
1475,3,others,2.3,11735.0,1960.0,3,Semi-Furnished,South -West,available,3,2,"Garden/Park, Pool",Hydrabad
1476,2,others,0.78,6166.0,1265.0,5,Unfurnished,,not sure,2,1,,Hydrabad
1477,2,others,0.7000000000000001,,1162.0,4,Furnished,East,available,2,2,Garden/Park,Hydrabad
1478,2,others,0.56,4571.0,1225.0,3,Unfurnished,West,available,2,1,Garden/Park,Hydrabad
1479,3,Kompally,1.0,6897.0,1450.0,4,Furnished,East,not sure,2,1,Main Road,Hydrabad
1480,3,NH 9,1.8,11002.0,1636.0,8,Semi-Furnished,West,not sure,3,3,"Garden/Park, Main Road, Pool",Hydrabad
1481,3,others,1.55,10098.0,1535.0,5,Unfurnished,East,not sure,2,2,"Garden/Park, Main Road, Pool",Hydrabad
1482,3,Gachibowli,2.7,13547.0,1993.0,10+,Unfurnished,East,not sure,3,1,"Main Road, Pool",Hydrabad
1483,3,others,1.32,7952.0,1660.0,2,Semi-Furnished,North - East,not sure,2,2,Main Road,Hydrabad
1484,3,others,1.5,,1600.0,1,Furnished,East,not sure,3,3,,Hydrabad
1485,3,others,0.99,6429.0,1540.0,5,Unfurnished,West,not sure,2,2,,Hydrabad
1486,2,others,0.8,7648.0,1046.0,5,Unfurnished,North,not sure,2,1,Main Road,Hydrabad
1487,3,NH 9,1.88,10550.0,1782.0,10+,Unfurnished,West,available,3,1,"Garden/Park, Main Road, Pool",Hydrabad
1488,3,Gachibowli,1.96,,2009.0,10+,Unfurnished,East,available,3,,"Garden/Park, Main Road, Pool",Hydrabad
1489,2,others,0.55,,1071.0,0,Furnished,,not sure,2,2,,Hydrabad
1490,3,others,1.3,8713.0,1492.0,4,Furnished,East,not sure,3,1,"Garden/Park, Main Road, Pool",Hydrabad
1491,3,Manikonda Jagir,1.41,6730.0,2095.0,4,Unfurnished,West,not sure,3,1,Main Road,Hydrabad
1492,3,others,1.27,8000.0,1588.0,4,Unfurnished,West,available,3,2,Main Road,Hydrabad
1493,2,others,0.28,3916.0,715.0,2,Unfurnished,East,available,1,1,Main Road,Hydrabad
1494,4,Yapral,1.75,6322.0,2768.0,4,Furnished,West,available,4,1,Garden/Park,Hydrabad
1495,3,others,0.6900000000000001,5308.0,1300.0,3,Unfurnished,West,not sure,3,1,Garden/Park,Hydrabad
1496,2,Gachibowli,1.1,9091.0,1210.0,1,Semi-Furnished,East,available,2,2,Garden/Park,Hydrabad
1497,3,others,0.75,4545.0,1650.0,3,Semi-Furnished,East,not sure,3,1,,Hydrabad
