,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
356,2 BHK Apartment for Sale in Bangalore,"75 Lac6,356 per sqft",1000 sqft,NAN,Ready to Move,1 out of 4,Resale,Unfurnished,East,NAN,Freehold,NAN,2,3,Garden/Park,NAN
357,3 BHK Apartment for Sale in CL Ramaiah Layout Bangalore,1.15 Cr,1260 sqft,NAN,Ready to Move,4 out of 5,Resale,Furnished,NAN,NAN,Freehold,NAN,3,2,NAN,NAN
358,3 BHK Apartment for Sale in RK Township Bangalore,"60 Lac4,396 per sqft",NAN,1365 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,NAN,NAN,Freehold,1 Covered,2,2,"Garden/Park, Main Road",NAN
359,4 BHK Apartment for Sale in Whitefield Bangalore,"6.25 Cr15,455 per sqft",4000 sqft,NAN,Ready to Move,16 out of 28,Resale,Unfurnished,East,NAN,Freehold,2 Covered,4,3,Garden/Park,NAN
360,2 BHK Apartment for Sale in Rachenahalli Main Road Bangalore,"95 Lac9,013 per sqft",900 sqft,NAN,Ready to Move,3 out of 14,New Property,Semi-Furnished,South,NAN,Freehold,NAN,2,1,Main Road,NAN
361,2 BHK Apartment for Sale in P and T Colony RT Nagar Bangalore,"70 Lac5,000 per sqft",1200 sqft,NAN,Ready to Move,3 out of 5,Resale,Semi-Furnished,North - East,NAN,Freehold,1 Covered,2,2,"Garden/Park, Pool, Main Road",NAN
362,3 BHK Apartment for Sale in Doddakammanahalli Main Road Bangalore,"81 Lac5,960 per sqft",NAN,1359 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
363,Studio Apartment for Sale in Marathahalli Bangalore,"7.50 Cr31,250 per sqft",2400 sqft,NAN,Ready to Move,6 out of 6,Resale,Unfurnished,NAN,NAN,NAN,NAN,> 10,1,NAN,NAN
364,2 BHK Apartment for Sale in Balagere Bangalore,"1.50 Cr12,397 per sqft",NAN,1210 sqft,Ready to Move,Ground out of 14,Resale,Semi-Furnished,South,NAN,NAN,NAN,2,1,NAN,NAN
365,2 BHK Apartment for Sale in Phase 2 Electronic City Bangalore,"55 Lac6,215 per sqft",707 sqft,NAN,Ready to Move,6 out of 9,Resale,Semi-Furnished,North,NAN,Freehold,1 Covered,2,2,Garden/Park,NAN
366,"2 BHK Apartment for Sale in Bda Flats, Kommaghatta, Bangalore Bangalore","46 Lac4,340 per sqft",NAN,1060 sqft,Ready to Move,3 out of 10,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
367,2 BHK Apartment for Sale in Whitefield Bangalore,"1.03 Cr10,499 per sqft",NAN,981 sqft,NAN,11 out of 21,Resale,Unfurnished,East,NAN,Freehold,NAN,2,1,Garden/Park,Poss. by May '25
368,3 BHK Penthouse for Sale in Hennur Main Road Bangalore,"1.70 Cr8,387 per sqft",1432 sqft,NAN,Ready to Move,3 out of 3,New Property,Unfurnished,West,NAN,Freehold,NAN,3,3,NAN,NAN
369,1 BHK Apartment for Sale in Syndicate Bank Layout Bangalore,"35 Lac5,785 per sqft",NAN,605 sqft,Ready to Move,2 out of 10,Resale,Unfurnished,North,NAN,Co-operative Society,NAN,1,1,Garden/Park,NAN
370,2 BHK Apartment for Sale in Kudlu Gate Bangalore,"95 Lac7,422 per sqft",NAN,1280 sqft,Ready to Move,4 out of 4,Resale,Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
371,2 BHK Apartment for Sale in New MICO Layout Bangalore,"64 Lac5,387 per sqft",NAN,1188 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,NAN,NAN,Co-operative Society,1 Covered,2,1,Main Road,NAN
372,"2 BHK Apartment for Sale in Fortune Sunnyvale apartments, Singasandra, Kudlu gate Bangalore","68 Lac6,028 per sqft",NAN,1128 sqft,Ready to Move,1 out of 3,Resale,NAN,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
373,3 BHK Apartment for Sale in Nyanapanahalli Bangalore,"75 Lac4,896 per sqft",NAN,1532 sqft,Ready to Move,2 out of 5,Resale,Semi-Furnished,East,NAN,Co-operative Society,NAN,3,2,Main Road,NAN
