,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
1005,"3 BHK Apartment for Sale in Saan Verdante, Sector 95 Gurgaon","2.75 Cr10,730 per sqft",NAN,2563 sqft,Ready to Move,7 out of 22,Resale,Semi-Furnished,North,Saan Verdante,Freehold,NAN,3,5,"Pool, Garden/Park",NAN
1006,"3 BHK Apartment for Sale in Navraj The Antalyas, Sector 37D, Delhi Gurgaon Expressway Gurgaon","2.20 Cr9,778 per sqft",1890 sqft,NAN,NAN,3 out of 5,Resale,Semi-Furnished,South,Navraj The Antalyas,Freehold,NAN,3,4,NAN,Poss. by Jan '25
1007,"4 BHK Apartment for Sale in Lions Society, Sector 56 Gurgaon","2.60 Cr10,000 per sqft",2200 sqft,NAN,Ready to Move,7 out of 9,Resale,Unfurnished,North - West,Lions Society,Freehold,1 Covered,4,3,Main Road,NAN
1008,"3 BHK Builder Floor for Sale in Orchid Island, Sector 51 Gurgaon","1.70 Cr12,977 per sqft",1210 sqft,NAN,Ready to Move,2 out of 2,Resale,Semi-Furnished,NAN,Orchid Island,NAN,NAN,2,4,NAN,NAN
1009,"2 BHK Apartment for Sale in Santur Aspira, Palam Vihar Gurgaon","25 Lac2,525 per sqft",80 sqyrd,NAN,Ready to Move,3 out of 5,Resale,Furnished,NAN,Santur Aspira,Power Of Attorney,NAN,2,2,NAN,NAN
1010,"3 BHK Apartment for Sale in Signature Global Park 4 and 5, Sector 36 Sohna Gurgaon","83 Lac7,678 per sqft",NAN,1081 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,North,Signature Global Park 4 and 5,Freehold,NAN,2,2,"Garden/Park, Pool, Main Road",NAN
1011,"2 BHK Apartment for Sale in Ansal Valley View Estate, Gwal Pahari Gurgaon","70 Lac6,381 per sqft",NAN,1097 sqft,Ready to Move,15 out of 18,Resale,Furnished,North,Ansal Valley View Estate,Freehold,1 Open,2,1,Garden/Park,NAN
1012,"2 BHK Apartment for Sale in Tulip Lemon, Sector 69 Gurgaon","70 Lac13,308 per sqft",NAN,526 sqft,Ready to Move,2 out of 14,Resale,Semi-Furnished,NAN,Tulip Lemon,NAN,NAN,1,NAN,NAN,NAN
1013,"3 BHK Apartment for Sale in Raheja Vanya, Sector 99A, Delhi Gurgaon Expressway Gurgaon","1 Cr5,308 per sqft",NAN,1884 sqft,NAN,15 out of 34,Resale,Unfurnished,NAN,Raheja Vanya,NAN,NAN,3,3,"Garden/Park, Pool",Poss. by Oct '24
1014,"3 BHK Apartment for Sale in Godrej Frontier Gurgaon, Sector 80 Gurgaon","1.60 Cr7,073 per sqft",NAN,2262 sqft,Ready to Move,5 out of 17,Resale,Unfurnished,NAN,Godrej Frontier Gurgaon,NAN,1 Covered,3,2,NAN,NAN
1015,"2 BHK Apartment for Sale in Pyramid Urban67A, Sector 67A Gurgaon","75 Lac12,500 per sqft",NAN,600 sqft,Ready to Move,6 out of 15,Resale,Semi-Furnished,East,Pyramid Urban67A,Freehold,NAN,2,1,Garden/Park,NAN
1016,3 BHK Apartment for Sale in Gurugram Road Gurgaon,"2.74 Cr13,700 per sqft",800 sqft,NAN,Ready to Move,2 out of 3,Resale,Furnished,East,NAN,NAN,1 Covered,3,1,Garden/Park,NAN
1017,"3 BHK Apartment for Sale in Central Park Flower Valley, Sohna Gurgaon","2.15 Cr12,018 per sqft",NAN,1789 sqft,Ready to Move,4 out of 14,Resale,Semi-Furnished,NAN,Central Park Flower Valley,NAN,NAN,3,3,NAN,NAN
1018,"4 BHK Apartment for Sale in DLF The Arbour, Sector 63 Gurgaon","8.10 Cr20,506 per sqft",2300 sqft,NAN,NAN,33 out of 39,Resale,Furnished,NAN,DLF The Arbour,NAN,NAN,6,3,NAN,NAN
1019,"3 BHK Builder Floor for Sale in Anant Raj Estate, Sector 63A Gurgaon","1.60 Cr10,000 per sqft",1550 sqft,NAN,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,Anant Raj Estate,Freehold,1 Covered,3,2,Main Road,NAN
1020,2 BHK Apartment for Sale in Sector 102 Gurgaon,"35 Lac7,000 per sqft",NAN,500 sqft,Ready to Move,Ground out of 14,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,1,NAN,NAN,NAN
1021,"3 BHK Apartment for Sale in Emaar Palm Hills, Sector 77, Delhi Gurgaon Expressway Gurgaon","1.05 Cr7,241 per sqft",NAN,1450 sqft,Ready to Move,6 out of 9,Resale,Semi-Furnished,NAN,Emaar Palm Hills,NAN,NAN,3,NAN,NAN,NAN
