index,BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
256.0,2,Outer Ring Road,0.55,4846.0,1135.0,3,Furnished,North - East,not sure,2,2,"Garden/Park, Main Road",Hydrabad
257.0,3,others,0.77,6353.0,1212.0,3,Furnished,East,not sure,2,1,Main Road,Hydrabad
258.0,4,others,0.5,3509.0,1425.0,6,Unfurnished,East,not sure,3,1,Main Road,Hydrabad
259.0,3,others,1.25,7852.0,1592.0,4,Semi-Furnished,East,not sure,3,4,Main Road,Hydrabad
260.0,2,Kondapur,1.35,9643.0,1400.0,10+,Unfurnished,East,not sure,2,1,"Garden/Park, Main Road, Pool",Hydrabad
261.0,3,others,2.0,10000.0,2000.0,1,Unfurnished,East,not sure,3,1,Main Road,Hydrabad
262.0,3,Kokapet,2.5,13889.0,1800.0,10+,Unfurnished,East,not sure,3,1,Main Road,Hydrabad
263.0,2,others,0.62,4500.0,1378.0,1,Unfurnished,East,available,2,2,"Garden/Park, Main Road, Pool",Hydrabad
264.0,3,others,0.84,5250.0,1600.0,2,Unfurnished,East,available,3,1,Main Road,Hydrabad
265.0,3,Narsingi,0.901,6000.0,1502.0,4,Unfurnished,West,not sure,3,1,Main Road,Hydrabad
266.0,2,others,1.72,9582.0,1795.0,3,Semi-Furnished,North,available,2,1,Main Road,Hydrabad
267.0,3,others,1.7,8500.0,2000.0,2,Unfurnished,North,not sure,3,2,Main Road,Hydrabad
268.0,4,Kondapur,4.4,15068.0,2920.0,10+,Unfurnished,West,available,4,3,Main Road,Hydrabad
269.0,3,Kondapur,2.05,11141.0,1840.0,10+,Unfurnished,West,not sure,3,3,Main Road,Hydrabad
270.0,3,others,1.26,7326.0,1720.0,5,Semi-Furnished,North - East,available,3,1,"Garden/Park, Main Road",Hydrabad
271.0,3,Narsingi,1.58,8500.0,1859.0,10+,Unfurnished,East,available,3,1,Garden/Park,Hydrabad
