,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
360,"4 BHK Apartment for Sale in Rustomjee Crown, Prabhadevi Mumbai","11 Cr64,706 per sqft",1700 sqft,NAN,NAN,37 out of 67,Resale,Unfurnished,West,Rustomjee Crown,Freehold,3 Covered,3,NAN,Garden/Park,Poss. by Dec '24
361,4 BHK Apartment for Sale in Bandra West Mumbai,"29.74 Cr92,938 per sqft",2974 sqft,NAN,NAN,16 out of 21,New Property,Semi-Furnished,East,NAN,Freehold,3 Covered,5,1,Main Road,Poss. by Dec '26
362,"4 BHK Apartment for Sale in Birla Niyaara, Worli Mumbai","20 Cr44,444 per sqft",3000 sqft,NAN,NAN,Upper Basement out of 75,Resale,Semi-Furnished,West,Birla Niyaara,Freehold,3 Covered,6,1,NAN,Poss. by Feb '28
363,"2 BHK Apartment for Sale in Siennaa, Thakur Village, Kandivali East Mumbai","1.80 Cr17,143 per sqft",720 sqft,NAN,NAN,6 out of 60,Resale,Unfurnished,East,Siennaa,Freehold,1 Covered,2,NAN,"Garden/Park, Pool, Main Road",Poss. by Jun '25
364,"3 BHK Apartment for Sale in Sunteck City 4th Avenue, Goregaon West Mumbai","2.76 Cr22,080 per sqft",902 sqft,NAN,NAN,10 out of 45,New Property,Unfurnished,East,Sunteck City 4th Avenue,Freehold,2 Covered,3,NAN,Main Road,Poss. by Dec '24
365,"3 BHK Apartment for Sale in Lodha Divino, Matunga East Mumbai","5.50 Cr44,000 per sqft",1227 sqft,NAN,NAN,15 out of 32,New Property,Semi-Furnished,East,Lodha Divino,NAN,NAN,3,1,"Garden/Park, Main Road",Poss. by Mar '27
366,1 BHK Apartment for Sale in Virar West Mumbai,"33 Lac5,739 per sqft",363 sqft,NAN,NAN,20 out of 22,New Property,Unfurnished,East,NAN,Freehold,NAN,1,NAN,Garden/Park,Poss. by Dec '24
367,1 BHK Apartment for Sale in Kurla East Mumbai,"95 Lac15,833 per sqft",494 sqft,NAN,Ready to Move,7 out of 16,Resale,Semi-Furnished,North - East,NAN,Co-operative Society,NAN,2,2,"Main Road, Garden/Park",NAN
368,"3 BHK Apartment for Sale in Lodha Regalia, Mulund East Mumbai","2.50 Cr25,589 per sqft",NAN,977 sqft,NAN,18 out of 38,New Property,Unfurnished,East,Lodha Regalia,Co-operative Society,1 Covered,3,1,"Garden/Park, Pool",Poss. by Dec '24
369,"3 BHK Apartment for Sale in Sheth Edmont, Kandivali West Mumbai","2.90 Cr17,586 per sqft",1009 sqft,NAN,NAN,20 out of 51,New Property,Unfurnished,East,Sheth Edmont,Freehold,1 Covered,3,1,Main Road,Poss. by Dec '27
