BHK,sector,price,price_persqft,SuperArea,Floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
2,others,0.665,5556,1197.0,4,Unfurnished,West,available,2,1,Main Road,Hydrabad
3,Uppal,1.0,5405,1850.0,3,Unfurnished,North,May be not,3,2,Main Road,Hydrabad
3,Manikonda Jagir,0.72,5333,1350.0,3,Unfurnished,North,May be not,2,3,Main Road,Hydrabad
4,others,3.64,10000,3640.0,4,Furnished,North - East,available,4,2,,Hydrabad
2,Pragathi Nagar,0.6900000000000001,5750,1200.0,1,Semi-Furnished,West,available,2,,Main Road,Hydrabad
2,others,0.6,5000,1200.0,5,Unfurnished,North,May be not,2,2,Main Road,Hydrabad
3,Puppalguda,1.5,8021,1870.0,4,Semi-Furnished,North,available,2,,Main Road,Hydrabad
2,others,0.53,4609,1150.0,3,Unfurnished,West,May be not,2,1,,Hydrabad
3,NH 9,1.12,8582,1305.0,1,Unfurnished,East,available,3,2,Main Road,Hydrabad
3,others,1.75,10606,1650.0,1,Semi-Furnished,,available,3,3,Main Road,Hydrabad
2,others,0.65,6019,1080.0,1,Semi-Furnished,West,available,2,2,Main Road,Hydrabad
3,Nizampet,0.865,4494,1925.0,1,Furnished,South,available,3,3,Main Road,Hydrabad
3,others,1.6,6400,2500.0,4,Unfurnished,East,available,3,1,,Hydrabad
3,others,1.5,6522,2300.0,2,Unfurnished,East,May be not,3,3,,Hydrabad
3,Kompally,1.3,8525,1525.0,8,Unfurnished,North,available,2,2,"Garden/Park, Main Road",Hydrabad
2,others,0.55,4911,1120.0,5,Semi-Furnished,South,May be not,2,2,,Hydrabad
3,Narsingi,0.85,6538,1300.0,4,Unfurnished,East,May be not,2,1,Main Road,Hydrabad
3,others,0.9500000000000001,4657,2040.0,3,Unfurnished,East,May be not,3,1,Main Road,Hydrabad
3,others,2.05,11988,1710.0,5,Semi-Furnished,East,May be not,3,2,,Hydrabad
2,Nizampet,0.6,6000,1000.0,4,Semi-Furnished,West,available,2,,Main Road,Hydrabad
3,NH 9,1.9,10597,1793.0,4,Unfurnished,West,available,3,1,Garden/Park,Hydrabad
2,Miyapur,0.6,5455,1100.0,2,Unfurnished,East,May be not,2,1,Main Road,Hydrabad
2,others,0.55,5446,1010.0,1,Unfurnished,East,May be not,2,3,,Hydrabad
3,others,1.2,7059,1700.0,2,Semi-Furnished,East,available,3,3,,Hydrabad
3,others,0.65,4268,1523.0,4,Unfurnished,North - East,May be not,2,2,,Hydrabad
2,Outer Ring Road,0.55,4846,1135.0,3,Furnished,North - East,May be not,2,2,"Garden/Park, Main Road",Hydrabad
3,others,0.77,6353,1212.0,3,Furnished,,May be not,2,,,Hydrabad
4,others,0.5,3509,1425.0,6,Unfurnished,East,May be not,3,1,Main Road,Hydrabad
3,others,1.25,7852,1592.0,4,Semi-Furnished,East,May be not,3,4,,Hydrabad
2,Kondapur,1.35,9643,1400.0,10+,Unfurnished,East,May be not,2,1,"Pool, Garden/Park, Main Road",Hydrabad
3,others,2.0,10000,2000.0,1,Unfurnished,,May be not,3,1,,Hydrabad
3,Kokapet,2.5,13889,1800.0,10+,,,May be not,3,,,Hydrabad
2,others,0.62,4500,1378.0,1,Unfurnished,East,available,2,2,"Garden/Park, Pool, Main Road",Hydrabad
3,others,0.84,5250,1600.0,2,Unfurnished,East,available,3,1,Main Road,Hydrabad
3,Narsingi,0.9009999999999999,6000,1502.0,4,Unfurnished,West,May be not,3,1,Main Road,Hydrabad
2,others,1.72,9582,1795.0,3,Semi-Furnished,North,available,2,1,Main Road,Hydrabad
3,others,1.7,8500,2000.0,2,Unfurnished,North,May be not,3,2,Main Road,Hydrabad
4,Kondapur,4.4,15068,2920.0,10+,Unfurnished,West,available,4,3,Main Road,Hydrabad
3,Kondapur,2.05,11141,1840.0,10+,Unfurnished,West,May be not,3,3,Main Road,Hydrabad
