,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
1342,"2 BHK Apartment for Sale in Miyapur, NH 9 Hyderabad","85 Lac7,770 per sqft",NAN,1094 sqft,Ready to Move,1 out of 10,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1343,6 BHK Apartment for Sale in Krishna Nagar Upparpally Hyderabad,"1.20 Cr4,000 per sqft",NAN,3000 sqft,Ready to Move,6 out of 7,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,4,NAN,NAN,NAN
1344,3 BHK Builder Floor for Sale in Manikonda Hyderabad,"1 Cr6,061 per sqft",NAN,1650 sqft,Ready to Move,2 out of 5,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1345,2 BHK Builder Floor for Sale in Sainikpuri Hyderabad,"70 Lac6,040 per sqft",NAN,1159 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1346,2 BHK Builder Floor for Sale in Ramakrishnapuram Bahadurguda Hyderabad,"1.20 Cr9,167 per sqft",NAN,1309 sqft,Ready to Move,3 out of 6,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1347,3 BHK Apartment for Sale in Srinagar Colony Malakpet Extension Hyderabad,"1.22 Cr23,782 per sqft",NAN,57 sqyrd,Ready to Move,3 out of 5,Resale,Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1348,"2 BHK Apartment for Sale in Kokapet, Outer Ring Road Hyderabad","1.15 Cr9,055 per sqft",NAN,1270 sqft,Ready to Move,12 out of 12,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,3,NAN,NAN
1349,"3 BHK Apartment for Sale in Moosapet, NH 9 Hyderabad","2 Cr10,753 per sqft",NAN,1860 sqft,Ready to Move,Ground out of 20,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1350,"3 BHK Apartment for Sale in Moosapet, NH 9 Hyderabad","2 Cr10,753 per sqft",NAN,1860 sqft,Ready to Move,Ground out of 20,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1351,"3 BHK Apartment for Sale in Risinia intellipark, bachupally Hyderabad","1 Cr6,789 per sqft",NAN,1473 sqft,Ready to Move,3 out of 6,Resale,Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1352,1 BHK Apartment for Sale in Begum Bazar Hyderabad,"1.95 Cr17,411 per sqft",1120 sqft,NAN,Ready to Move,1 out of 4,Resale,Unfurnished,North,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1353,3 BHK Apartment for Sale in Himayatnagar Hyderabad,"2 Cr11,409 per sqft",1420 sqft,NAN,Ready to Move,5 out of 5,Resale,Furnished,NAN,NAN,NAN,NAN,3,2,NAN,NAN
1354,"3 BHK Apartment for Sale in Pragathi Nagar, Kukatpally Hyderabad","1.20 Cr9,266 per sqft",823 sqft,NAN,Ready to Move,8 out of 10,Resale,Unfurnished,West,NAN,Co-operative Society,NAN,2,1,"Pool, Garden/Park, Main Road",NAN
1355,2 BHK Apartment for Sale in Manikonda Jagir Hyderabad,"1.03 Cr7,518 per sqft",NAN,1370 sqft,Ready to Move,5 out of 5,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,1,NAN,NAN
1356,"2 BHK Apartment for Sale in Pragathi Nagar, Kukatpally Hyderabad","53.1 Lac4,827 per sqft",NAN,1100 sqft,Ready to Move,3 out of 6,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1357,"3 BHK Apartment for Sale in Ghatkesar, NH 2 2 Hyderabad","48 Lac3,556 per sqft",NAN,1350 sqft,Ready to Move,7 out of 8,Resale,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1358,"3 BHK Apartment for Sale in Quthbullapur, NH 7 Hyderabad","90 Lac4,972 per sqft",NAN,1810 sqft,Ready to Move,3 out of 6,Resale,Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1359,2 BHK Apartment for Sale in Tsiic colony jeedimetla Hyderabad,30 Lac,695 sqft,NAN,Ready to Move,3 out of 5,Other,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1360,"3 BHK Apartment for Sale in Dhatu Nagar, Kanchan Bagh Hyderabad","91.5 Lac5,755 per sqft",NAN,1590 sqft,Ready to Move,3 out of 5,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1361,2 BHK Apartment for Sale in Dilsukh Nagar Main Road Hyderabad,"80 Lac7,168 per sqft",1116 sqft,NAN,Ready to Move,2 out of 3,New Property,Furnished,East,NAN,Freehold,NAN,2,1,Main Road,NAN
1362,Apartment for Sale in Marredpally Hyderabad,"4 Cr4,762 per sqft",NAN,8400 sqft,Ready to Move,NAN,Resale,Unfurnished,NAN,NAN,Freehold,1 Covered,NAN,NAN,NAN,NAN
1363,"3 BHK Builder Floor for Sale in Kakateeya Nagar, Secunderabad Hyderabad","1 Cr7,018 per sqft",NAN,1425 sqft,Ready to Move,2 out of 5,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1364,4 BHK Apartment for Sale in Puppalguda Hyderabad,"2.10 Cr8,824 per sqft",2250 sqft,NAN,Ready to Move,4 out of 4,Resale,Unfurnished,North,NAN,Freehold,NAN,4,3,Main Road,NAN
1365,3 BHK Apartment for Sale in Narsinghi Hyderabad,"1.10 Cr7,208 per sqft",NAN,1526 sqft,Ready to Move,4 out of 6,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1366,"4 BHK Builder Floor for Sale in Gulshan Colony, Qutub Shahi Tombs Hyderabad","1.21 Cr5,500 per sqft",NAN,2200 sqft,Ready to Move,1 out of 3,Resale,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1367,2 BHK Apartment for Sale in LS projects Hyderabad,"55 Lac5,069 per sqft",1085 sqft,NAN,Ready to Move,2 out of 5,Resale,Furnished,NAN,NAN,NAN,NAN,2,1,NAN,NAN
1368,1 BHK Apartment for Sale in Pocharam Near Malaysiya townsh Hyderabad,"40 Lac7,782 per sqft",514 sqft,NAN,Ready to Move,Ground out of 2,New Property,Unfurnished,East,NAN,Freehold,NAN,1,1,NAN,NAN
1369,2 BHK Builder Floor for Sale in Bandlaguda Jagir Hyderabad,"65.9 Lac5,500 per sqft",NAN,1199 sqft,Ready to Move,3 out of 5,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
